position,season,week,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,player_name,team
DST,2025,5,Detroit Lions,3.4,1.0,0.6,1.1,0.2,0.1,18.7,307.4,9.0,,
DST,2025,5,Cleveland Browns,3.7,1.0,0.6,0.8,0.2,0.0,19.6,296.8,8.7,,
DST,2025,5,Minnesota Vikings,3.3,0.9,0.7,1.3,0.2,0.0,17.2,292.6,8.5,,
DST,2025,5,Arizona Cardinals,3.1,0.7,0.6,0.9,0.2,0.0,16.1,280.1,7.7,,
DST,2025,5,Los Angeles Rams,2.6,0.8,0.6,1.1,0.2,0.0,18.6,324.6,7.6,,
DST,2025,5,Buffalo Bills,3.3,0.7,0.8,1.4,0.2,0.0,20.7,318.7,7.3,,
DST,2025,5,Indianapolis Colts,3.0,1.0,0.5,0.9,0.2,0.0,20.0,330.6,7.0,,
DST,2025,5,Philadelphia Eagles,1.8,0.8,0.6,1.1,0.2,0.0,19.7,324.7,6.7,,
DST,2025,5,Houston Texans,2.3,0.6,0.5,0.8,0.1,0.0,19.8,313.3,6.4,,
DST,2025,5,New Orleans Saints,3.1,0.7,0.5,0.7,0.1,0.0,20.3,323.4,6.3,,
DST,2025,5,Tampa Bay Buccaneers,2.8,0.8,0.6,1.0,0.1,0.0,23.0,320.1,6.3,,
DST,2025,5,Seattle Seahawks,2.6,0.8,0.5,0.6,0.2,0.1,20.9,330.8,6.3,,
DST,2025,5,Dallas Cowboys,2.8,0.6,0.7,1.1,0.2,0.0,23.9,326.4,6.3,,
DST,2025,5,New York Giants,2.7,0.7,0.5,0.9,0.2,0.0,20.9,318.3,6.1,,
DST,2025,5,Los Angeles Chargers,3.1,0.6,0.5,0.7,0.1,0.0,22.5,337.6,6.1,,
DST,2025,5,Denver Broncos,3.1,0.5,0.5,0.9,0.1,0.0,23.7,314.7,6.0,,
DST,2025,5,Miami Dolphins,2.3,0.7,0.6,0.9,0.2,0.0,22.8,303.9,5.9,,
DST,2025,5,Kansas City Chiefs,2.1,0.8,0.5,0.8,0.2,0.0,20.8,322.4,5.7,,
DST,2025,5,Washington Commanders,2.9,0.6,0.5,0.7,0.1,0.0,26.2,359.5,5.7,,
DST,2025,5,New York Jets,2.2,0.7,0.6,0.9,0.2,0.0,24.4,345.0,5.7,,
DST,2025,5,Baltimore Ravens,2.6,0.6,0.5,0.6,0.1,0.0,21.1,331.3,5.6,,
DST,2025,5,Carolina Panthers,2.0,0.8,0.5,0.6,0.1,0.0,23.0,356.3,5.4,,
DST,2025,5,Jacksonville Jaguars,2.1,0.7,0.5,0.8,0.1,0.0,23.2,335.5,5.4,,
DST,2025,5,Tennessee Titans,2.1,0.7,0.5,0.7,0.1,0.0,24.8,342.4,5.0,,
DST,2025,5,Las Vegas Raiders,2.2,0.6,0.5,0.7,0.1,0.0,27.6,352.6,5.0,,
DST,2025,5,San Francisco 49ers,2.0,0.6,0.5,0.9,0.1,0.0,25.6,345.1,4.9,,
DST,2025,5,Cincinnati Bengals,1.8,0.6,0.4,0.5,0.1,0.0,30.5,390.2,4.3,,
DST,2025,5,New England Patriots,1.7,0.6,0.3,0.5,0.1,0.0,29.8,376.3,4.3,,
