position,season,week,Player,FG,FGA,XPT,FPTS,player_name,team
K,2025,8,Harrison Butker KC,1.9,2.3,3.0,8.8,Harrison Butker,KC
K,2025,8,Michael Badgley IND,1.8,2.1,3.0,8.6,Michael Badgley,IND
K,2025,8,Brandon Aubrey DAL,2.0,2.2,2.4,8.4,Brandon Aubrey,DAL
K,2025,8,Wil Lutz DEN,1.8,2.1,2.8,8.2,Wil Lutz,DEN
K,2025,8,Evan McPherson CIN,1.8,2.3,2.7,8.2,Evan McPherson,CIN
K,2025,8,Parker Romo ATL,1.8,2.3,2.7,8.2,Parker Romo,ATL
K,2025,8,Cameron Dicker LAC,1.9,2.2,2.4,8.1,Cameron Dicker,LAC
K,2025,8,Jake Elliott PHI,1.7,2.0,2.9,8.0,Jake Elliott,PHI
K,2025,8,Chase McLaughlin TB,1.7,2.1,2.7,7.9,Chase McLaughlin,TB
K,2025,8,Brandon McManus GB,1.8,2.1,2.5,7.8,Brandon McManus,GB
K,2025,8,Tyler Loop BAL,1.7,2.0,2.5,7.7,Tyler Loop,BAL
K,2025,8,Ka'imi Fairbairn HOU,1.8,2.1,2.3,7.7,Ka'imi Fairbairn,HOU
K,2025,8,Chris Boswell PIT,1.8,2.0,2.2,7.6,Chris Boswell,PIT
K,2025,8,Cairo Santos CHI,1.7,2.0,2.4,7.6,Cairo Santos,CHI
K,2025,8,Matt Prater BUF,1.6,1.9,2.5,7.5,Matt Prater,BUF
K,2025,8,Will Reichard MIN,1.8,2.1,2.1,7.4,Will Reichard,MIN
K,2025,8,Andy Borregales NE,1.6,2.0,2.4,7.2,Andy Borregales,NE
K,2025,8,Riley Patterson MIA,1.7,2.0,2.1,7.2,Riley Patterson,MIA
K,2025,8,Ryan Fitzgerald CAR,1.7,2.0,2.1,7.1,Ryan Fitzgerald,CAR
K,2025,8,Nick Folk NYJ,1.7,1.9,2.1,7.1,Nick Folk,NYJ
K,2025,8,Eddy Pineiro SF,1.7,1.9,1.9,7.0,Eddy Pineiro,SF
K,2025,8,Blake Grupe NO,1.6,2.1,2.0,6.9,Blake Grupe,NO
K,2025,8,Matt Gay WAS,1.4,1.8,2.2,6.5,Matt Gay,WAS
K,2025,8,Graham Gano NYG,1.5,1.7,2.0,6.4,Graham Gano,NYG
K,2025,8,Andre Szmyt CLE,1.6,1.9,1.5,6.2,Andre Szmyt,CLE
K,2025,8,Joey Slye TEN,1.6,1.9,1.4,6.1,Joey Slye,TEN
K,2025,8,Lucas Havrisik GB,0.8,0.9,1.2,3.6,Lucas Havrisik,GB
K,2025,8,Jake Moody CHI,0.8,1.0,1.1,3.5,Jake Moody,CHI
K,2025,8,Tyler Bass BUF,0.4,0.5,0.6,1.6,Tyler Bass,BUF
K,2025,8,Jude McAtamney NYG,0.0,0.0,0.0,0.0,Jude McAtamney,NYG
K,2025,8,Jason Sanders MIA,0.0,0.0,0.0,0.0,Jason Sanders,MIA
K,2025,8,Younghoe Koo NYG,0.0,0.0,0.0,0.0,Younghoe Koo,NYG
