position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
TE,2026,,George Kittle SF,5.5,64.6,0.4,0.0,9.0
TE,2026,,Hunter Henry NE,4.3,51.4,0.4,0.0,7.7
TE,2026,,Brenton Strange JAC,4.3,46.9,0.4,0.0,7.1
TE,2026,,Dalton Kincaid BUF,4.1,53.2,0.3,0.0,7.1
TE,2026,,Colston Loveland CHI,4.0,48.4,0.4,0.0,6.9
TE,2026,,Dalton Schultz HOU,4.7,43.3,0.3,0.0,6.1
TE,2026,,Dallas Goedert PHI,4.0,40.1,0.3,0.0,5.8
TE,2026,,Oronde Gadsden II LAC,3.5,41.1,0.2,0.0,5.5
TE,2026,,Tyler Higbee LAR,2.7,28.7,0.2,0.0,4.2
TE,2026,,Luke Musgrave GB,3.1,29.1,0.2,0.0,4.2
TE,2026,,Colby Parkinson LAR,2.7,26.4,0.2,0.0,4.1
TE,2026,,Pat Freiermuth PIT,2.7,27.0,0.2,0.0,3.7
TE,2026,,Cole Kmet CHI,2.2,25.5,0.2,0.0,3.5
TE,2026,,Tommy Tremble CAR,2.7,23.2,0.2,0.0,3.4
TE,2026,,Jonnu Smith PIT,2.3,16.7,0.1,0.0,3.2
TE,2026,,Dawson Knox BUF,1.7,20.8,0.2,0.0,3.0
TE,2026,,Austin Hooper NE,1.5,16.9,0.1,0.0,2.3
TE,2026,,Cade Stover HOU,0.9,7.9,0.1,0.0,2.1
TE,2026,,Davis Allen LAR,1.2,11.8,0.1,0.0,1.8
TE,2026,,Mitchell Evans CAR,1.3,11.5,0.1,0.0,1.7
TE,2026,,Jake Tonges SF,1.4,12.0,0.1,0.0,1.7
TE,2026,,Connor Heyward PIT,0.2,1.8,0.0,0.0,1.6
TE,2026,,Quintin Morris JAC,0.7,6.8,0.1,0.0,1.0
TE,2026,,Josh Whyle GB,0.7,5.9,0.1,0.0,0.9
TE,2026,,Grant Calcaterra PHI,0.6,6.4,0.0,0.0,0.9
